point_idx,seed,lambda_rate,lambda_connectivity,mean_acc,min_task_acc,task_loss,metabolic_cost,wiring_cost,conn_frac,wiring_cost_w_in_l2,acc_fdgo,acc_fdanti,acc_dm1,acc_contextdm1,acc_dmsgo
5,2,0.1,21.55824671778505,0.6909375,0.453125,0.01235296543687582,0.016809591259807348,0.003558926982805133,0.03753063827753067,0.017588621005415916,0.93125,0.453125,0.7515625,0.825,0.49375
6,0,0.1,60.0,0.344375,0.1734375,0.027675391659140586,0.012215187521651388,0.0021252513397485018,0.0007812500116415322,0.01682930625975132,0.315625,0.1734375,0.3078125,0.4203125,0.5046875
6,1,0.1,60.0,0.5775,0.4828125,0.019480460695922373,0.024214058350771665,0.003345221048220992,0.023575367406010628,0.016960419714450836,0.6125,0.5796875,0.59375,0.61875,0.4828125
6,2,0.1,60.0,0.3765625,0.184375,0.027003913596272473,0.014381979070603847,0.0027861734852194786,0.0078125,0.01643415167927742,0.4625,0.184375,0.4,0.3453125,0.490625
7,0,0.26591479484724945,1.0,0.953125,0.765625,0.004445328223519027,0.007649013744667172,0.011275378987193108,0.38953736424446106,0.014330281876027584,1.0,1.0,1.0,1.0,0.765625
7,1,0.26591479484724945,1.0,0.9575000000000001,0.790625,0.0037088598299305888,0.006995107205584645,0.016879025846719742,0.5476409196853638,0.014650820754468441,1.0,1.0,1.0,0.996875,0.790625
7,2,0.26591479484724945,1.0,0.9650000000000001,0.825,0.003835440624970943,0.007291858373209834,0.015502224676311016,0.5221967101097107,0.014837008900940418,1.0,1.0,1.0,1.0,0.825
8,0,0.26591479484724945,2.7831576837137404,0.928125,0.640625,0.005818579162005335,0.00827331805601716,0.006166265346109867,0.15739889442920685,0.014405721798539162,1.0,1.0,1.0,1.0,0.640625
8,1,0.26591479484724945,2.7831576837137404,0.9396875,0.6984375,0.004722106666304171,0.0074462784547358754,0.009647407568991184,0.3050091862678528,0.014027870260179043,1.0,1.0,1.0,1.0,0.6984375
8,2,0.26591479484724945,2.7831576837137404,0.9484375,0.75625,0.004948895452544093,0.007776963729411363,0.008850294165313244,0.2775888442993164,0.014597967267036438,1.0,0.9859375,1.0,1.0,0.75625
9,0,0.26591479484724945,7.745966692414834,0.63625,0.5,0.018253120575100184,0.007550473748706281,0.0032330055255442858,0.033149510622024536,0.015017815865576267,0.7875,0.5015625,0.690625,0.7015625,0.5
9,1,0.26591479484724945,7.745966692414834,0.8881249999999999,0.6,0.008429447300732137,0.009064984386786818,0.0053763724863529205,0.11924019455909729,0.013207798823714256,1.0,0.928125,0.94375,0.96875,0.6
9,2,0.26591479484724945,7.745966692414834,0.8625,0.6015625,0.00855026594363153,0.008528527105227113,0.004913945682346821,0.1012561246752739,0.015104616060853004,0.9640625,0.915625,0.9171875,0.9140625,0.6015625
10,0,0.26591479484724945,21.55824671778505,0.303125,0.175,0.028563325814902785,0.004132539862766862,0.0023359828628599644,0.0037530637346208096,0.016012929379940033,0.275,0.175,0.2671875,0.3078125,0.490625
10,1,0.26591479484724945,21.55824671778505,0.5940624999999999,0.428125,0.0177065160125494,0.00802923264913261,0.0037463000044226646,0.04226409271359444,0.013109898194670677,0.7609375,0.428125,0.665625,0.65,0.465625
10,2,0.26591479484724945,21.55824671778505,0.2846875,0.0953125,0.025423095338046552,0.006639792765490711,0.0031961039640009403,0.023912377655506134,0.014387558214366436,0.3109375,0.0953125,0.209375,0.3234375,0.484375
